Book Title,Author,Highlight,Location
2666 (Spanish Edition),Roberto Bolaño,Un oasis de horror en medio de un desierto de aburrimiento.,
2666 (Spanish Edition),Roberto Bolaño,dejadez,
2666 (Spanish Edition),Roberto Bolaño,no restó un ápice del deslumbramiento y de la admiración que le produjo la novela.,
2666 (Spanish Edition),Roberto Bolaño,Nadie le pidió que lo hiciera.,
2666 (Spanish Edition),Roberto Bolaño,esclusas,
2666 (Spanish Edition),Roberto Bolaño,los anaqueles más mohosos de,
2666 (Spanish Edition),Roberto Bolaño,sendos,
2666 (Spanish Edition),Roberto Bolaño,A él le hubiera gustado que no fuera tan,
2666 (Spanish Edition),Roberto Bolaño,"barojianos, y en primavera en orteguianos,",
2666 (Spanish Edition),Roberto Bolaño,"que se fuera, que dejara de molestarlos, que no volviera más.",
2666 (Spanish Edition),Roberto Bolaño,supuraba,
2666 (Spanish Edition),Roberto Bolaño,es decir no se trazaba planes a medio o largo plazo ni ponía en juego todas sus energías para conseguirlos.,
2666 (Spanish Edition),Roberto Bolaño,mezquindad.,
2666 (Spanish Edition),Roberto Bolaño,"por lo tanto es más fácil ir a la guerra que dejar de fumar, de",
2666 (Spanish Edition),Roberto Bolaño,rictus,
2666 (Spanish Edition),Roberto Bolaño,telarañas,
2666 (Spanish Edition),Roberto Bolaño,"abrumada,",
2666 (Spanish Edition),Roberto Bolaño,desdibujando,
2666 (Spanish Edition),Roberto Bolaño,huesudas,
2666 (Spanish Edition),Roberto Bolaño,nutrido,
2666 (Spanish Edition),Roberto Bolaño,"parva,",
2666 (Spanish Edition),Roberto Bolaño,quebrantada,
2666 (Spanish Edition),Roberto Bolaño,"quebradiza,",
2666 (Spanish Edition),Roberto Bolaño,catedrática.,
2666 (Spanish Edition),Roberto Bolaño,lapidarias,
2666 (Spanish Edition),Roberto Bolaño,exégesis,
2666 (Spanish Edition),Roberto Bolaño,"envarada,",
2666 (Spanish Edition),Roberto Bolaño,rapapolvo,
2666 (Spanish Edition),Roberto Bolaño,acometidas,
2666 (Spanish Edition),Roberto Bolaño,despiadadas,
2666 (Spanish Edition),Roberto Bolaño,"cotilleos,",
2666 (Spanish Edition),Roberto Bolaño,paradero,
2666 (Spanish Edition),Roberto Bolaño,alentador.,
2666 (Spanish Edition),Roberto Bolaño,rifirrafes,
2666 (Spanish Edition),Roberto Bolaño,lomos.,
2666 (Spanish Edition),Roberto Bolaño,ambages,
2666 (Spanish Edition),Roberto Bolaño,soporífera,
2666 (Spanish Edition),Roberto Bolaño,posguerra,
2666 (Spanish Edition),Roberto Bolaño,amenos,
2666 (Spanish Edition),Roberto Bolaño,solapa,
2666 (Spanish Edition),Roberto Bolaño,renegridas,
2666 (Spanish Edition),Roberto Bolaño,murete,
2666 (Spanish Edition),Roberto Bolaño,pesadez,
2666 (Spanish Edition),Roberto Bolaño,arropado,
2666 (Spanish Edition),Roberto Bolaño,ropajes,
2666 (Spanish Edition),Roberto Bolaño,boicoteando,
2666 (Spanish Edition),Roberto Bolaño,"provechoso,",
2666 (Spanish Edition),Roberto Bolaño,baladí,
2666 (Spanish Edition),Roberto Bolaño,"suabo,",
2666 (Spanish Edition),Roberto Bolaño,calaba,
2666 (Spanish Edition),Roberto Bolaño,"tenderete,",
2666 (Spanish Edition),Roberto Bolaño,quinqué,
2666 (Spanish Edition),Roberto Bolaño,trigal,
2666 (Spanish Edition),Roberto Bolaño,"holgada,",
2666 (Spanish Edition),Roberto Bolaño,hilera,
2666 (Spanish Edition),Roberto Bolaño,sin pararse a pensar qué evocaba,
2666 (Spanish Edition),Roberto Bolaño,ayuntamiento,
